Seizure Types,Hospitalization Events,Clinical Diagnoses,Diagnostic Procedures
,,Contracture of joint of finger,
,,Hypertension,
,,Disorder of visual pathways,
,,Pyelonephritis,
,,Immunodeficiency disorder,
,,Short stature,
,,Urinary incontinence,
,,Chronic hyponatremia,
,,Contracture of joint of left ankle,
,,Reduced visual acuity,
,,Failure to thrive,
,,Umbilical hernia,
,,Esotropia,
,,Decreased hearing,
,,Poor visual attention,
,,Weak cry,
,,Abnormal weight loss,
,,Diarrhea,
,,Failure to gain weight,
,,Auditory processing disorder,
,,Global aphasia,
,,Eczema,
,,Hirsutism,
,,Gastroparesis,
,,Microcephaly,
,,Fatigue,
,,Malnutrition,
,,Aspiration pneumonia,
,,Autistic features,
,,Autism spectrum disorder,
,,Neutropenia,
,,Ataxia,
,,Underweight,
,,Fracture of femur,
,,Asthma,
,,Severe cognitive impairment,
,,Allergic condition,
,,Congenital hip dysplasia,
,,Hypoparathyroidism,
,,Visual disturbance,
,,Impaired cognition (brain fog),
,,Cortical blindness,
,,Intermittent strabismus,
,,Hydrops fetalis,
,,Bilateral contracture of joints of elbows,
,,Tachypnea,
,,Bilateral contracture of joints of knees,
,,Swelling (Edema),
,,Pericardial effusion,
,,Arthrogryposis,
,,Fracture of bone,
,,Bilateral contracture of joints of wrists,
,,Pneumothorax,
,,Swollen abdomen,
,,Ascites,
,,Neonatal jaundice,
,,Delayed visual maturation,
,,Abdominal pain,
,,Congenital hydronephrosis,
,,Hyperopic astigmatism,
,,Gastrointestinal dysmotility,
,,Hyperactive behavior,
,,Aggressive behavior,
,,Anxiety,
,,Nephrolithiasis,
,,Recurrent urinary tract infections,
,,Recurrent viral infection,
,,Vesicoureteral reflux,
,,Choreoathetosis,
,,Acquired coxa valga,
,,Hearing loss,
,,Recurrent acute otitis media,
,,Gross motor developmental regression,
,,Respiratory compromise,
,,Lennox-Gastaut syndrome,
,,Subluxation of left hip joint,
,,Bilateral dysplastic hip,
,,Double Incontinence,
,,Ventricular septal defect,
,,Pulmonic valve stenosis,
,,Clostridium difficile diarrhea,
,,Hydrocephalus,
,,Premature atrial contraction,
,,Cholelithiasis without obstruction,
,,Normocytic anemia,
,,Hydrocele of testis,
,,Syndactyly of toes,
,,Convulsions in the newborn,
,,Fracture of clavicle,
,,Nocturnal myoclonus,
,,Hypospadias,
,,Sandifer syndrome,
,,Alternating hypertropia,
,,Intermittent exotropia,
,,Restlessness,
,,Breathing-related sleep disorder,
,,Oropharyngeal dysphagia,
,,Dystonia,
,,Right bundle branch block,
,,Variable muscle tone,
,,Hypoplasia of corpus callosum,
,,Clostridium difficile colitis,
,,Hyperirritability,
,,Inappropriate laughter,
,,West syndrome,
,,Kyphosis deformity of spine,
,,Temperature dysregulation,
,,Esophagitis,
,,Restrictive lung disease,
,,Progressive myoclonic epilepsy,
,,Undescended testicle,
,,Axial hypotonia,
,,Generalized hypotonia,
,,Developmental regression,
,,Localized edema,
,,Fracture of ulna,
,,Fracture of radius,
,,Fracture of scaphoid bone of wrist,
,,Incoordination,
,,Mixed receptive-expressive language disorder,
,,Chronic vomiting,
,,Hypoglycemia,
,,Acute hyperglycemia,
,,Microcytic anemia,
,,Hypercholesterolemia,
,,Recurrent pneumonia,
,,Nausea,
,,Hypokalemia,
,,Dyslipidemia,
,,Vitamin D deficiency,
,,Gastrointestinal hemorrhage,
,,Drug-induced hyponatremia,
,,Brachycephaly,
,,Dyskinesia,
,,Contracture of right elbow joint,
,,Severe sensorineural hearing loss of the right ear,
,,Projectile vomiting,
,,Delayed milestone,
,,Mild hyperopia,
,,Hyponatremia,
,,Bilateral hearing loss,
,,Strabismus,
,,Precocious thelarche,
,,Seizure free for 6 months,
,,Seizure free > 12 months,
,,Difficulty swallowing,
,,Respiratory arrest,
,,Elevated liver enzymes (Transaminitis),
,,Jaundice,
,,Mild gross motor delay,
,,Cephalhematoma due to birth trauma,
,,Anisocoria,
,,Intertrigo,
,,Alternating exotropia,
,,Spastic quadriparesis,
,,Profound global developmental delay,
,,Myopic astigmatism,
,,Adrenal insufficiency,
,,Ventricular tachycardia,
,,Recurrent Clostridium difficile infection,
,,Hypotonic cerebral palsy,
,,Cold hands,
,,Immunoglobulin G deficiency,
,,Severe intellectual disability,
,,Left conductive hearing loss,
,,Dilatation of renal pelvis,
,,Neonatal hypoglycemia,
,,Excessive weight gain,
,,Oculomotor apraxia,
,,Disorders of initiating and maintaining sleep,
,,Environmental allergy,
,,Intracranial hemorrhage,
,,Laryngeal spasm,
,,Dermoid cyst,
,,Left hemiplegia,
,,Decreased urine output,
,,Dysmorphic facies,
,,Suck-swallow incoordination,
,,Hypoxemia,
,,Abnormal breathing,
,,Bilateral contracture of joints of hips,
,,Congenital coxa valga,
,,Hyperventilation,
,,Spastic paraplegia,
,,Hyperplasia of gingiva,
,,Bilateral contractures of upper and lower extremities,
,,Congenital hydronephrosis due to ureteropelvic junction obstruction,
,,Muscle weakness of lower limb,
,,Chronic kidney disease,
,,Obstructive nephropathy,
,,Hypertrophy of tonsils,
,,Hypoalbuminemia,
,,Hypothyroidism,
,,Hypercapnic respiratory failure,
,,Conjunctivitis,
,,Mood disorder,
,,Cognitive developmental delay,
,,Motor tic disorder,
,,Dependence on non-invasive ventilation,
,,Precocious puberty,
,,Hyperlipidemia,
,,Cortical dysplasia,
,,Hyperopia of right eye,
,,Hyperopia of left eye,
,,Simple craniosynostosis,
,,Enlarged Liver (Hepatomegaly),
,,Neuropathic pain,
,,Gastritis,
,,Ulcer of mouth,
,,Infection caused by Helicobacter pylori,
,,Retractile testis,
,,Neuromuscular kyphosis,
,,Dysmetria,
,,Developmental delay in fine motor function,
,,Talipes planovalgus,
,,Mitochondrial cytopathy,
,,Fracture of ankle,
,,Single seizure,
,,"Blind or low vision, both eyes",
,,Speech and language disorder,
,,Talipes planus,
,,Contracture of ankle joint,
,,Pancreatitis,
,,Bilious vomiting,
,,Hypercalcemia,
,,Mild expressive language delay,
,,Oral apraxia,
,,Mild pulmonary valve stenosis,
,,Congenital atrial septal defect,
,,Hypoventilation,
,,Neuralgia,
,,Severe global developmental delay,
,,Restless sleep,
,,Craniosynostosis syndrome,
,,Profound intellectual disability,
,,Edema of glottis,
,,Vocal cord paralysis,
,,Seasonal allergy,
,,Talipes equinus,
,,Conductive hearing loss of right ear,
,,Developmental plateau,
,,Headache,
,,Hypochloremia,
,,Hyperkalemia,
,,Syndrome of inappropriate antidiuretic hormone secretion (SIADH),
,,Pectus excavatum,
,,Upper respiratory tract obstruction,
,,Dependence on nocturnal oxygen therapy,
,,Dyspnea on exertion,
,,Hepatitis,
